ProteinGroup	NV-284-14D	NV-284-Pre	NV-285-14D	NV-285-Pre	NV-291-14D	NV-291-Pre	NV-292-14D	NV-292-Pre	SHAM-257-14D	SHAM-257-Pre	SHAM-258-14D	SHAM-258-Pre	SHAM-485-14D	SHAM-485-Pre	SHAM-523-14D	SHAM-523-Pre	SNI-259-14D	SNI-259-Pre	SNI-260-14D	SNI-260-Pre	SNI-509-14D	SNI-509-Pre	SNI-514-14D	SNI-514-Pre
1_GL0003708;2-1_GL0047644;2-3_GL0095440;2-6_GL0045970;5-2_GL0029612;G1-1A_GL0068928	3230.48	NA	NA	NA	2585.45	NA	4519.42	NA	NA	NA	NA	2918.07	2983.4	NA	10009.06267	NA	NA	NA	2010.6	NA	NA	NA	4613.56	2257.45
1_GL0003708;2-3_GL0095440;2-6_GL0045970;G1-1A_GL0068928	31007.9	NA	7487.42	6075.21	24109.3	11340.1	23261.8	4166.02	9859.57	7899.37	25516.7	36328	NA	10493.5	14766.3	13028.8	12756.2	NA	30317.1	67158.7	10912	NA	NA	19690.5
1_GL0004722;MH-0-3_GL0005477;S-Fe2_GL0170894	2099.009714	NA	1477.529456	1225.511831	2270.755348	3788.479988	3402.856329	2892.80847	5027.658802	7257.139221	9086.043893	1480.750288	7920.489343	4890.51369	1531.591391	5632.253265	5032.972701	2868.627639	9140.897792	NA	5803.279569	NA	2192.674629	2009.88181
1_GL0010544	NA	NA	NA	NA	4394.065719	NA	1363.63	NA	NA	NA	NA	NA	NA	NA	3441.45	NA	NA	NA	NA	NA	NA	NA	NA	3338.98
1_GL0010544;2-6_GL0010329	4559.094571	NA	NA	NA	4258.351858	NA	7809.630003	NA	NA	NA	NA	NA	NA	NA	8372.59243	NA	NA	2295.776534	NA	NA	NA	NA	NA	4526.167485
1_GL0011591;8-1_GL0061360	72221.7	NA	16952.6	NA	NA	16737.1	NA	NA	NA	NA	NA	18646.4	38408.6	NA	NA	NA	NA	NA	55481	NA	NA	NA	75049.5	NA
1_GL0021401	9680.18	5996.46	6174.14	5972.31	11730.8	NA	7869.93	NA	4129.43	NA	5023.06	NA	NA	NA	7907.6	NA	1907.07	NA	14162.4	3227.89	NA	NA	NA	12273.8
1_GL0021401;5-7_GL0063732;6-1_GL0074586;7-7_GL0030347;8-1_GL0083080;8-5_GL0050759;G1-5A_GL0199126;MH-6-5_GL0077975;S-Fe20_GL0017193;S-Fe20_GL0032209;S-Fe20_GL0132538;S-Fe9_GL0048599	15695.56676	12800.47251	14818.28014	15334.32179	31311.55362	15343.80811	30850.80557	13380.44558	23713.32996	7159.228179	13738.43965	16816.2979	36019.24372	26215.87292	50771.16427	18205.29714	24827.33712	11927.67262	22355.92092	14190.58009	14348.89834	14544.94391	43310.74477	31286.61452
1_GL0021401;5-7_GL0063732;8-1_GL0083080;Group2-4A_GL0123968;S-Fe20_GL0132538;S-Fe20_GL0145210;S-Fe9_GL0048599	28786.5	17063.9	16504.4	30021	71843.7	17779.6	42824.1	7556.52	20316.2	4371.94	42925.8	5063.72	50016.5	61611.2	152345	15524.2	19321.1	17652.3	156980	15269.9	5979.39	8501.14	80474.7	70862.4
1_GL0021401;6-1_GL0074586	3425.01	1643.76	NA	1892.4	4027.05	NA	1789.06	NA	NA	NA	2411.9	NA	2643.27	1981.34	5105.329122	NA	NA	NA	8288.07	NA	NA	NA	3736.272722	4227.29
1_GL0021401;6-1_GL0074586;8-1_GL0083080	12979.1	7400.53	NA	5217.64	18527.7	NA	20913	NA	13086.6	NA	NA	5032.46	16978.9	NA	19499.2	10865.1	7348.34	NA	21457.2	12331	NA	NA	22423.1	15765.5
1_GL0021401;6-1_GL0074586;8-1_GL0083080;S-Fe20_GL0132538;S-Fe9_GL0048599	15589.85703	8080.89	12878.2	4356.72	30385.7	6039.93	20307.47166	NA	10115.9	NA	22082.8	3759.99	27080	8308	61243.3	9526.46	13946.9	11978.08751	40035.25376	11854.2	3071.94	1682.59	38061.4	31001.2
1_GL0021401;6-1_GL0074586;8-1_GL0083080;S-Fe9_GL0048599	NA	NA	NA	NA	3413.671827	NA	1080.198105	NA	NA	NA	NA	NA	1127.723279	NA	3899.698032	NA	NA	NA	3223.702345	NA	NA	NA	3160.036628	2734.300466
1_GL0021401;6-1_GL0074586;S-Fe20_GL0132538;S-Fe9_GL0048599	18496.5	7778.66	12920.1	5767.91	18973.4	2394.93	16974.6	2011.21	13014.8	3175.57	20840.9	7156.31	16395.9	2330.77	49755.6	7953.15	15492.3	15723.7	26245.6	10046.9	NA	2539.11	32771.8	21288.8
1_GL0021401;8-1_GL0083080;S-Fe9_GL0048599	2526.19	1743.88	2036.23	1545.85	5136.98	NA	3870.79	NA	1744.45	NA	4135.23	NA	2091.63	1301.73	6862.19	1919.14	NA	NA	6938.1	1385.99	NA	NA	8215.03	6441.3
1_GL0023260;2-1_GL0104774;2-3_GL0095626;6-1_GL0020589;6-2_GL0087186;S-Fe3_GL0046395	12243.5	NA	5042.2	2653.18	12568.2	3062.34	9439.77	2411.44	6251.9	NA	7897.49	11624.7	11737.2	2600.31	22676.7	6680.26	5686.81	NA	7948.21	12886.3	4394.35	5215.97	13310.6	13321.9
1_GL0029577	NA	NA	3497.461226	NA	5393.690271	7164.408219	6822.508298	2329.735089	13725.15187	4702.826304	NA	NA	8100.997032	NA	NA	2938.969411	15356.59716	6525.042434	NA	NA	NA	7913.648528	NA	6413.875711
1_GL0029577;2-2_GL0131392;2-5_GL0034294;5-3_GL0028392;Group2-4A_GL0000538	12879.1	7357.89	20465.9	7385.68	19671.8	21454.2905	28503.7	20816.55135	40291	51447.5	13650.1	2419.690902	21675.83365	2313.07	6864.8	10797.3	24388.69843	18276.4	12778.5	5905.25	9133.64	43247.03336	19277.57971	19119.1
1_GL0029577;2-2_GL0131392;2-5_GL0034294;Group2-4A_GL0000538	12257.1	11034.8	34026.5	9908.68	34286.62785	32260.16769	31341.3627	39404.53123	53435.26235	80367.96649	19527.0183	4085.48	48379.6	3073.48	10674.9	22266.1	51803.73152	25910.20457	9023.84	7157.79	17852.2027	81843.58587	30298.56251	39123.33688
1_GL0029577;2-5_GL0034294	NA	NA	NA	NA	20398.1	22582.3	14477.6	NA	NA	NA	NA	NA	26484.7	1471.69	2125.4	11924.8	61221.6	48750.7	NA	NA	NA	71319.2	NA	20977.7
1_GL0029577;2-5_GL0034294;5-3_GL0028392;Group2-4A_GL0000538	NA	NA	2837.195208	733.7953576	3825.231737	6440.744105	4571.844176	1214.669477	6138.22668	14730.80043	518.7017102	NA	4042.903843	NA	NA	1398.194356	10477.13106	6682.982281	NA	1412.93864	NA	7723.589038	NA	3746.377889
1_GL0029577;2-5_GL0034294;Group2-4A_GL0000538	NA	NA	22008.82499	7561.48672	27940.33602	56940.35967	30504.79891	9062.489886	33089.81358	93943.66294	18579.26335	NA	32509.1002	NA	NA	13422.88234	75974.32962	44727.73667	NA	9710.313517	NA	73590.36978	NA	26298.55245
1_GL0029577;Group2-4A_GL0000538	NA	NA	39679.69193	7073.84073	17428.31549	40733.26822	35648.80036	12241.81097	43036.41396	103877.1091	NA	3199.287849	27254.57898	NA	3336.049681	16761.08757	85743.79952	53757.30003	NA	7241.10668	NA	101191.8616	NA	32381.19125
1_GL0032517;G1-1A_GL0003105;S-Fe10_GL0023669	10526.3	NA	733.756	400.122	4235.36	2246.28	4498.09	NA	NA	NA	3623.67	6391.89	NA	NA	NA	1506.82	2226.9	1083.16	7826.61	13978.7	NA	2695.99	NA	6000.61
1_GL0036429	28015.72666	NA	19925.68227	20776.59278	31714.03267	7591.427051	20543.9501	42322.99358	32959.73372	18027.78618	NA	34501.13523	12478.62325	NA	84925.92581	46718.61145	NA	25331.70265	14848.43717	19446.27081	9403.690696	25393.57302	16786.64328	31250.51955
1_GL0036429;3-7_GL0026613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16334.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_GL0036429;47_GL0131083;54_GL0040206;Group2-8A_GL0049193;S-Fe5_GL0162239	NA	NA	NA	NA	NA	NA	NA	3133.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_GL0036429;Group2-8A_GL0049193	4743.604533	2849.36	11166.82323	8345.698442	8210.132459	29057.40382	17269.23298	20467.57846	10158.90931	10874.6482	2963.95	11335.07822	1947.38	921.5884216	20612.66762	11011.17666	3858	12619.08351	11128.57211	6835.896932	1918.917721	1766.61	11441.33751	8457.527459
1_GL0038377	17668.75741	NA	NA	NA	NA	13436.42041	NA	NA	NA	NA	NA	NA	NA	59195.32385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_GL0038377;2-1_GL0064618;2-3_GL0101170;6-2_GL0017794	21653.67093	4041.56	11667.5	6880.97	49467.8	8363.8	44845.6	8749.47	9209.25	NA	NA	NA	34926.2	2665.45	6570.64	NA	21646.5	NA	33416.8	NA	5451.32	49304.2	25155.5	52828.9
1_GL0038377;2-3_GL0101170	56658.74265	NA	6916.53	4578.18	45971.88482	18425.7	33129.23659	NA	5497.35	NA	36095.71375	24824.1	13346.97907	NA	NA	8826.38	7831.54	9138.19	49004.55429	90329.97758	NA	7468.27	NA	51611.68904
1_GL0038377;2-3_GL0101170;34_GL0024708;6-2_GL0017794;G1-5A_GL0006982	579926	44514.5	43299.6	34159.1	93967.9	87637.2	175176	66016.8	41927.7	17388.1	281029	221199	88952	213897	68071.8	173999	53122.9	101393	268635	835420	73782.7	213151	47833.5	96111.1
1_GL0041992	NA	2231.56	NA	NA	NA	NA	NA	NA	NA	NA	3906.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2594.12
1_GL0041992;20_GL0172070	NA	670.28	NA	NA	1491.83	1335.49	835.199	2070.24	1632.73	NA	896.149	2350.4	1408.78	939.927	1784.46	1741.09	1211.04	1389.75	2173.59	NA	847.668	1216.84	2257.83	1867.14
1_GL0041992;20_GL0172070;8-5_GL0034441	NA	NA	NA	NA	11082.5	NA	NA	NA	12739.2	NA	NA	NA	11566.9	NA	NA	NA	9965.25	NA	NA	NA	9452.66	6116.61	8206.86	7454.65
1_GL0041992;8-5_GL0034441	19170.275	13977.20243	9888.910384	7879.206283	34337.02038	13984.89919	35243.13203	21429.40596	45624.04977	13763.70836	33675.75898	40887.28025	38179.05663	4780.8163	25433.26128	30182.9417	21292.25262	35506.33575	22805.17162	30129.27559	31943.78618	24428.74632	41838.63799	33936.34492
1_GL0043524;2-1_GL0009760;2-1_GL0052492;2-2_GL0096312;2-3_GL0000168;2-3_GL0062071;2-3_GL0062072;2-3_GL0080940;2-3_GL0080941;2-7_GL0019013;2-8_GL0037621;2-8_GL0100524;2-8_GL0100526;28_GL0037869;2A-dyr16-07_GL0000620;3-2_GL0068898;3-5_GL0047916;49_GL0077775;5-3_GL0006268;5-3_GL0050893;7-1_GL0019247;G1-5A_GL0133398;Group2-4A_GL0005454;Group2-4A_GL0005459;S-Fe12_GL0075450;S-Fe12_GL0081748;S-Fe6_GL0169466	26031.43421	NA	NA	NA	1098.146935	8660.025331	21216.19595	19696.57974	NA	3387.603633	24816.03761	3091.275624	2290.55438	4631.965295	1245.619248	NA	NA	5336.660034	15297.32403	18156.9137	NA	NA	2188.449494	1741.696597
1_GL0043524;2-3_GL0062059	NA	NA	NA	NA	NA	NA	NA	47683	NA	NA	NA	669581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_GL0054117	7465.167267	2503.455623	13935.76224	3125.555482	6857.451619	3640.543179	2631.014111	5242.434294	7485.090523	5486.163603	18602.91866	3409.468544	6181.861076	5216.292222	11097.1224	2732.796555	5990.623116	1816.209239	6415.983736	6165.923539	9726.900118	NA	8182.077863	6770.751794
1_GL0064176;2-1_GL0073982;2-1_GL0087634;2-8_GL0087491;4-7_GL0147128;5-2_GL0102425;Group2-3A_GL0028885	81976.2	4141.78	33206.5	NA	161568	15358.5	28968.7	63953.8	56502.2	11060.8	92930.9	33185	120599	73129.4	121012	201891	88852.8	27390	167421	164589	80828.1	114908	140316	151203
1_GL0064176;2-1_GL0087634;5-2_GL0102425	156361.1065	NA	13671.96187	NA	94670.58138	34642.75441	74410.21248	20418.38907	45514.09337	NA	56492.65787	122960.63	50168.08365	29087.95441	30264.87272	50663.39003	48378.45363	43851.19501	71260.1601	161298.4736	24158.26293	88855.33699	33261.34299	101101.3367
1_GL0065332	NA	4267.079001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7896.480856	NA	16518.29104	NA	NA	NA	11903.28725	NA	NA	NA	14721.73263	NA
1_GL0065332;6-6_GL0015877	3217.258099	5821.503481	4169.217595	NA	6636.931845	NA	3168.201094	NA	3857.070312	NA	4039.226309	NA	4422.406383	NA	9611.428093	NA	NA	NA	7294.689023	4011.22873	NA	NA	8244.622803	6584.358349
1_GL0086419;2-1_GL0024478	25886.1	13119.7	25750	15101.8	35289.8	8997.04	34673.45277	NA	13768.5	NA	15080.2893	NA	59608.87444	6776.36	84666.05099	42565.2	NA	NA	NA	NA	NA	NA	53165.24312	36442.3
1_GL0086419;2-1_GL0066566;G1-5A_GL0190133	NA	NA	NA	NA	19814.9	13294.5	9472.33	7632.86	16514.8	10053.4	NA	8401.46	24068.6	9158.72	8229.86	32438.7	18150.7	13929.8	18589.7	NA	9611.58	17015.3	10703	19159.1
1_GL0086419;2-1_GL0121718	8437.21	NA	4564.13	NA	34004.4	3865.7	8593.57	2772.3	16846.9	5732.91	16052.5	12688.4	25203.7	14103.6	21608.8	40172.9	43452.2	7971.52	36444.6	31604	16636.2	11800.7	24239.2	35274.1
1_GL0086842;2-1_GL0103739;2-5_GL0069395;3-5_GL0040884;4-1_GL0068194;5-3_GL0111435;5-5_GL0069737;6-1_GL0096272;6-2_GL0036741;G1-1A_GL0051997;S-Fe12_GL0080717	NA	NA	NA	NA	NA	NA	NA	NA	32519.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1_GL0086842;2-1_GL0103739;G1-1A_GL0051997;S-Fe12_GL0080717	131183	NA	NA	NA	NA	NA	37673.8	6516.95	NA	NA	35956.3	97122.7	NA	NA	NA	NA	NA	NA	23553.1	80332.6	NA	NA	NA	NA
1_GL0092558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	995.4471467	NA	NA	NA	990.3037735	1097.758389	NA	NA	NA	920.4097455	NA	NA
1_GL0092558;2-1_GL0106075;2-5_GL0058789;5-5_GL0087530;G1-5A_GL0183250	202768	83054.5	204178	122507	157052	78717	275954	48052	271023	134462	155217	39837.4	162257	21567.3	182234	139752	36409.6	22763.4	NA	6807.4	NA	78576.1	251248	168985
1_GL0092558;2-1_GL0106075;2-5_GL0058789;G1-5A_GL0183250	8562.56	8846.48	5225.24	3111.29	12926.1	13545.3	15001	5265.68	17795.2	8530.66	7848.96	NA	21298.1	3071.42	16254	8466.88	2441.38	2213.24	NA	NA	NA	6174.13	26407.5	9584.18
1_GL0092558;2-1_GL0106075;5-5_GL0087530;G1-5A_GL0183250	22583.3	14226.16336	44949.79479	17282.8	21112.43175	5479.12	22582.7	9128.14	35583.1	12960.7	24934.31745	5407.94	20371.24757	NA	31992.8	31416.36535	15484.6	9259.37	NA	NA	NA	31352.17265	35859.2	20652.29075
1_GL0092558;2-5_GL0058789	NA	NA	NA	NA	57587.4499	47294.55958	59004.60503	NA	49782.15933	51417.28353	NA	NA	18326.53677	NA	6646.91783	18867.72601	50190.65425	27691.69587	NA	NA	NA	112534.7007	NA	58954.88455
1_GL0095036	114086.0118	28298.02675	62146.78998	24245.85375	92846.98019	28277.20998	98782.22528	43867.03927	74052.04983	11118.64789	54807.94086	19440.97918	78068.21902	19949.69565	173202.8476	145406.0186	NA	NA	NA	NA	3043.317408	NA	82798.99157	74870.955
1_GL0095036;2-1_GL0087638;6-6_GL0028101;G1-8A_GL0100514	186561	8027.84	21976.6	12549.7	70317.4	29982	67748.4	NA	NA	22976.7	63985.7	NA	64882.9	20715.5	84505.7	84927.2	51471.3	31703.8	38297.6	151148	30342.6	51406	NA	71864
1_GL0095036;6-6_GL0028101;G1-8A_GL0100514	54847.60417	NA	17088.27714	NA	17886.46966	14668.31527	NA	21537.95976	13826.7335	NA	NA	43304.99166	20698.91748	NA	NA	NA	NA	NA	13768.36334	31580.42816	NA	31495.76705	13576.47788	20712.48297
1_GL0113163;5-7_GL0079241;8-5_GL0045610;MC-0-1_GL0097367;MC-0-1_GL0099489;S-Fe17_GL0006382;S-Fe20_GL0013758;S-Fe20_GL0020060	357093	NA	NA	150536	NA	331938	601898	138046	NA	NA	219425	NA	460885	971550	1082610	NA	NA	NA	387322	174009	NA	NA	NA	NA
1_GL0113163;8-5_GL0045610	NA	NA	NA	NA	3592.6037	NA	5527.597665	1389.575645	NA	NA	3184.584917	NA	2316.014423	NA	11539.99621	NA	NA	NA	3271.566899	NA	NA	NA	5122.27015	3287.218568
1_GL0113163;8-5_GL0045610;MC-0-1_GL0097367	NA	NA	NA	NA	15628.08667	4306.685408	19541.93678	NA	NA	NA	NA	NA	15340.68445	NA	41784.21358	NA	9167.071135	NA	16645.91043	NA	NA	NA	8243.890685	20258.18817
1_GL0113163;8-5_GL0045610;S-Fe17_GL0006382;S-Fe20_GL0020060	45073.4	13978.4	23178.5	10916.4	44382.2	8593.55	58633.2	7350.65	32563.9	7151.37	42379	9454.94	68059.4	4351.67	147901	22743.8	38462.7	34175.3	62956.8	16907.1	11749.8	10073.5	46050.7	45828.5
1_GL0113163;MC-0-1_GL0097367;S-Fe17_GL0006382	8031.04	3585.87	3764.37	2680.01	10373.6	2136.08	15038.5	2682.85	2649.31	NA	8124.9	1230.82	10977.5	980.84	20542.3	3227.4	4190.91	2022.91	14942.7	2872.75	1647.54	2245.76	5725.65	11824
1_GL0113163;S-Fe20_GL0020060	3949.692225	2360.823162	1488.971776	2044.470086	8090.923127	NA	6930.081588	NA	5374.26054	NA	NA	NA	17597.14405	NA	5072.904119	NA	10802.34428	3332.725494	9159.911843	NA	2302.839029	NA	7785.746966	8159.455075
10_GL0000502	10257.65186	5451.914321	8998.365207	5882.367775	NA	6001.44313	1738.914811	4635.356791	2098.564337	NA	18792.9297	NA	NA	4914.386601	4386.83608	NA	7853.477191	1926.746386	11582.25681	9874.849663	1516.005191	NA	4931.894714	3796.062587
10_GL0000502;16_GL0092029;5-8_GL0080291;6-2_GL0003591;MC-0-1_GL0058727;MC-0-3_GL0020201;MC-6-1_GL0032534;MC-6-2_GL0176091;MH-0-4_GL0002636;S-Fe10_GL0041507;S-Fe10_GL0076296;S-Fe10_GL0164975;S-Fe1_GL0178399;S-Fe20_GL0111922	126675.5543	NA	22677.69969	NA	73419.96627	138087.3904	NA	NA	NA	38612.05284	108715.0166	NA	NA	NA	NA	NA	20734.74767	63324.58726	NA	NA	NA	NA	395678.7108	NA
10_GL0000502;16_GL0092029;5-8_GL0080291;6-2_GL0003591;MC-0-1_GL0058727;MC-0-3_GL0020201;MC-6-1_GL0032534;MH-0-4_GL0002636;S-Fe10_GL0041507;S-Fe10_GL0164975;S-Fe1_GL0178399;S-Fe20_GL0111922	218919	280712	285784	213445	139376	163044	84677.9	113445	111009	45755.1	267448	57295.9	96385.9	245992	198944	90293.4	130382	97522.5	267012	169529	64260.9	73064.8	190309	144051
10_GL0000502;16_GL0092029;5-8_GL0080291;6-2_GL0003591;MC-0-3_GL0020201;MC-6-1_GL0032534;S-Fe10_GL0164975;S-Fe20_GL0111922	NA	NA	NA	NA	1788.39	6742.75	2335.56	3502.2	1995.25	NA	1221.78	347.803	1457.96	2202.18	805.131	NA	8145.85	NA	3737.41	NA	1845.1	733.665	4240.36	4302.01
10_GL0000502;5-8_GL0080291;MC-0-3_GL0020201;S-Fe10_GL0164975;S-Fe1_GL0178399	17549.4	5750.12	4615.7	5754.15	NA	11784.2	2824.96	NA	NA	4557.1	6424.16	NA	2702.01	17509.8	9465.27	NA	NA	NA	11508.1	9851.29	1986.94	NA	9550.04	6837.75
10_GL0000502;6-2_GL0003591;MC-0-1_GL0058727;S-Fe1_GL0178399	12237.2	11226.5	15919.1	9295.95	4607.69	5177.33	2943.92	NA	3472.13	NA	18762.2	NA	6314.29	8080.21	12343.1	NA	NA	3608.18	19757.8	6465.72	NA	NA	12742.4	3861.2
10_GL0000502;MC-0-1_GL0058727;MC-6-2_GL0176091;MH-0-4_GL0002636;S-Fe10_GL0041507;S-Fe1_GL0178399	NA	NA	NA	NA	NA	16916.5	NA	NA	18676.9	NA	NA	NA	NA	27578	NA	NA	NA	NA	NA	NA	36706.7	NA	29829.2	NA
10_GL0000502;MC-0-1_GL0058727;MC-6-2_GL0176091;S-Fe10_GL0041507	NA	NA	NA	NA	31168.8	54390.8	20555.1	37675.6	35035.8	NA	NA	NA	28264.4	71735.7	48178.2	36448.1	NA	NA	97551.7	NA	91579.3	NA	46744.3	32050.6
10_GL0000502;MC-0-1_GL0058727;MH-0-4_GL0002636;S-Fe10_GL0041507	NA	NA	NA	NA	NA	21740.95165	NA	4546.643862	NA	NA	NA	2393.06	13617.3	NA	NA	NA	NA	NA	NA	NA	8915.59	NA	13089.10473	NA
10_GL0000502;MC-0-1_GL0058727;MH-0-4_GL0002636;S-Fe10_GL0041507;S-Fe1_GL0178399	55314.7	54111.6	48117.5	28243.3	21548.9	42342.8	10697.7	10476.1	13366.4	5999.35	58170.7	4768.13	31735	56367.6	42895.9	15184.4	26366.6	14707.4	89546.2	41979.3	14911.3	5142.94	34118.3	17724.4
10_GL0000502;MC-0-1_GL0058727;S-Fe10_GL0076296;S-Fe1_GL0178399	NA	NA	NA	NA	NA	1445.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_GL0000502;MH-0-4_GL0002636;S-Fe1_GL0178399	NA	2767.64	NA	8180.59	NA	4795.61	NA	8491.82	NA	NA	2864.82	2822.79	6894.72	2482.91	3876.71	NA	NA	NA	9650.83	NA	NA	NA	4745.26	NA
10_GL0000502;S-Fe10_GL0076296;S-Fe1_GL0178399	NA	3044.52	8421.13	7171.03	3865.78	3262.41	NA	10016.3	8994.2	4022.58	NA	6856.15	10038.3	1139.5	3540.58	NA	6174.41	NA	2597.81	NA	8509.04	NA	10878.93654	4908.43
10_GL0000536	NA	NA	NA	NA	NA	NA	NA	691.8613596	NA	NA	NA	NA	3716.39619	3491.435803	5854.992207	NA	1893.24621	NA	2820.260173	NA	NA	NA	3383.01785	3629.299477
10_GL0000536;11_GL0117532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1506.26	3997.57	NA	4158.34	NA	NA	NA	NA	NA	NA	NA	1090.83	NA
10_GL0000536;6-7_GL0033069	7490.96	1214.38	2360.34	2854.49	9903.07	5993.02	8534.87	9220.52	5378.69	2080.15	7707.4	6266.25	6813.67	NA	8338.54	15529	9780.43	6475.8	4539.72	13309.8	4964.03	5297.78	7309.16	9953.38
10_GL0000536;6-7_GL0033069;S-Fe18_GL0057238	21754	6983	9480.83	NA	40589.5	8839.02	22516.7	17407.6	11663	6126.41	36908	16664.6	13081.3	NA	34616.2	31339.2	26276	21643.8	28462.4	24344.8	22995.5	14199.8	17262.1	42061.1
10_GL0002188	80690.18355	28404.50966	28178.27755	10409.73645	NA	6419.484815	3751.482425	34415.86775	21972.85394	25058.436	25369.5641	72322.52651	9079.633858	8012.146432	NA	12860.41164	13937.98745	11001.21352	8097.848683	33067.71126	15452.71791	11893.8478	8709.345534	NA
10_GL0002401	29123.55676	16947.92895	22516.18269	NA	NA	6923.862786	NA	23318.87657	22241.91725	21832.2306	19867.26524	35042.08812	5482.79583	NA	NA	NA	NA	NA	NA	17319.41051	NA	NA	7327.938051	NA
10_GL0003402	2119.740953	4578.204421	4401.232149	5276.602983	3058.572885	4222.989515	2517.998431	5101.286486	4976.539841	1415.241407	8319.13624	3362.341519	NA	2766.378993	2598.561523	2276.613792	2811.665495	4479.984872	8001.610897	4810.139484	2344.221113	NA	9105.669738	4167.729592
10_GL0009545	485106.6336	295313.9645	237067.8666	566870.9463	95681.21217	249257.9904	96888.24681	166240.2715	349368.889	334779	323483.0915	161816.6226	377533.0263	390291.6335	157070.7872	196315.9289	219421	490729.4386	390737	317871.9722	150878	200683.6896	202343.1672	96910.03785
10_GL0009545;20_GL0027333;4-2_GL0105421;47_GL0039979;5-7_GL0020114;5-7_GL0076266;5-7_GL0138075;6-8_GL0073135;6-8_GL0085366;7-4_GL0099193;G1-5A_GL0036391;MC-0-1_GL0011862;MH-6-5_GL0063812;S-Fe10_GL0161803;S-Fe1_GL0098999	450833	745491	434624	1284230	852088	1481160	712070	1292050	722312	447965	1384480	420653	1392310	1823950	982629	1256400	433663	1018840	1149290	1236730	302619	1428390	1033370	900826
10_GL0009545;20_GL0089028;5-7_GL0020114;5-7_GL0076266;5-7_GL0138075;54_GL0144097;6-8_GL0073135;6-8_GL0085366;8-2_GL0140216;MH-0-5_GL0037489;MH-6-4_GL0107289;S-Fe2_GL0149110;S-Fe3_GL0215405	167296	171159	100505	291668	148332	300520	281304	191803	239560	174627	303438	156313	315165	458420	182324	277395	233096	422525	213120	396252	420897	419257	182808	150853
10_GL0009545;2A-dyr16-07_GL0047024;G1-5A_GL0036391	6967.831836	10383.23899	14709.09016	60321.79408	27195.18343	20757.91976	15534.88446	65477.86103	25157.53916	12903.74386	10627.10994	15157.50691	25588.35883	48929.97593	17391.56768	31028.61823	15746.56844	21032.76683	14539.81776	13115.93913	21911.04851	35728.27391	26953.28078	24389.86519
10_GL0009545;5-7_GL0020114;5-7_GL0076266;5-7_GL0138075;6-8_GL0073135;6-8_GL0085366;7-4_GL0099193;G1-5A_GL0036391;MC-0-1_GL0011862;MH-6-5_GL0063812	NA	NA	NA	NA	NA	NA	NA	2595.776508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_GL0009545;5-7_GL0020114;5-7_GL0076266;6-8_GL0073135;6-8_GL0085366;G1-5A_GL0036391	117422	143596.5938	90275.5	343286.9263	301278.9345	361863.2326	167367.6955	429564.9293	198614	113598	300096.1521	133056	538231.3077	656044.1966	328483.0036	413778.8497	95903.5	240279.4978	293435.5835	358554.8989	264246.804	393812.3526	417221.574	286267.6666
10_GL0011642	NA	7544.522325	13014.73799	11437.63874	40310.40199	16330.12458	19776.80962	10015.98637	14168.9014	6686.868455	25988.58557	10141.3652	26182.83243	31382.18965	41924.68249	32115.67384	22814.25429	NA	33121.07941	27663.46358	21140.42538	27489.75899	54330.79318	39079.16819
10_GL0011642;2-1_GL0025638	5980.37	2147	3398.68	3162.89	7951.82	2433.66	11170.1	NA	6747.21	NA	4913.28	NA	9727.65	3442.82	20949.9	13829.7	NA	NA	NA	NA	NA	NA	10669.5	10124.5
10_GL0011642;2-1_GL0025638;2-1_GL0032121;2-1_GL0118084	NA	1292.849276	2239.823602	NA	7880.200068	NA	2725.703683	2758.256191	2677.892723	NA	3058.931551	NA	6720.185343	5683.050503	14691.45095	8447.584296	5183.563807	NA	4691.429153	4521.994421	2660.53709	5178.717384	8186.734776	8399.368331
10_GL0011642;2-1_GL0025638;2-1_GL0032121;2-1_GL0118084;2-3_GL0037968;2-5_GL0004989;5-8_GL0142127	40836.4	6011.74	12888.2	8055.44	35577.9	10952.3	35416.6	22276.6	19695.5	11713.7	23789.3	63008.4	23615.5	9652.46	32555.6	42024.9	27127.2	25237.6	21461	52477.9	22490	36584.7	22874.4	39690.8
