ProteinGroup	NV-284-14D	NV-284-Pre	NV-285-14D	NV-285-Pre	NV-291-14D	NV-291-Pre	NV-292-14D	NV-292-Pre	SHAM-257-14D	SHAM-257-Pre	SHAM-258-14D	SHAM-258-Pre	SHAM-485-14D	SHAM-485-Pre	SHAM-523-14D	SHAM-523-Pre	SNI-259-14D	SNI-259-Pre	SNI-260-14D	SNI-260-Pre	SNI-509-14D	SNI-509-Pre	SNI-514-14D	SNI-514-Pre
13_GL0082481	NA	NA	NA	NA	2676.297107	NA	NA	NA	NA	NA	NA	NA	NA	NA	1484.683571	NA	NA	NA	6960.678351	NA	NA	NA	NA	3540.555381
13_GL0082481;MC-0-1_GL0036393	49990.32451	79174.39435	59285.50381	65377.00944	21527.93877	38533.7492	6400.278002	9354.638094	12742.41145	6190.073681	73202.04094	NA	30579.09541	104413.1377	35008.3522	19198.31352	16781.9869	18301.54361	75919.55155	70900.84788	10279.63037	3949.441675	36726.88022	22278.64717
1-3_GL0083552;1-5_GL0025251;6-5_GL0061748;MH-6-3_GL0121565;S-Fe20_GL0082313;S-Fe3_GL0031809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6715.26	37206.28578	NA	NA	NA	NA	NA	NA	NA	NA	NA	32292.30826	NA
1-3_GL0083552;1-5_GL0025251;S-Fe3_GL0031809	15706.36853	NA	NA	NA	NA	15210.68808	NA	12271.84584	NA	6796.743166	NA	NA	NA	14233.81436	20264.19607	NA	NA	NA	NA	NA	NA	NA	12883.44516	11195.21553
1-3_GL0083931	NA	NA	NA	NA	2773.98	1157.59	NA	1921.78	NA	NA	NA	NA	1385.58	NA	2688.02	NA	3924.69	833.269	1305.24	1778.94	NA	1641.79	2113.72	2787.62
1-3_GL0083931;1A-dyr1-07_GL0015345;2-1_GL0089701;MC-6-2_GL0002551;S-Fe9_GL0169128	21933.1	6646.7	7948.46	6561.79	23319.5	24909.3	39993.5	35064.4	60413.6	29497.3	35073.4	38148.2	17983.7	27342.7	55726.7	45417.6	43251.3	30711.5	25512.3	38820.5	45323.7	40425.9	41901.1	26454.2
13_GL0084008	NA	9455.14737	NA	15693.14179	10105.83589	3345.66085	NA	NA	NA	11387.1037	NA	14943.22499	19938.51186	11489.13848	11648.48913	8100.810401	30984.1121	16494.91854	18182.47895	13630.30915	10032.75093	13684.41845	4963.802493	10429.37408
13_GL0084008;S-Fe2_GL0123209	NA	NA	NA	NA	16024.15321	5691.272778	NA	16126.32214	7146.312897	NA	NA	8756.3373	7221.308848	NA	33173.09731	11703.6521	NA	NA	NA	NA	15114.57696	NA	15084.88642	20782.2605
1-3_GL0084454	24205.45362	20845.52933	35223.40585	9433.453607	64388.10572	72484.37735	75594.15095	55413.02466	70483.71921	43744.78915	48309.41346	108251.0347	36007.19826	NA	100831.2001	32054.23203	91618.21564	103693.6588	38538.11465	26489.57278	22152.74506	23077.8927	53331.08253	63115.81717
1-3_GL0084454;5-8_GL0022965	NA	NA	2660.697122	NA	11883.21068	11447.6252	24308.33853	15766.15476	NA	5930.826657	4601.508963	17002.47506	9956.687766	NA	7486.464642	NA	NA	NA	NA	NA	NA	NA	NA	11704.92373
1-3_GL0084986	4193.01	6722.61	3001.81	6104.52	NA	2939.83	NA	1420.62	1743.02	NA	7427.96	NA	NA	NA	NA	NA	NA	NA	16601.1	5735.47	NA	NA	NA	NA
1-3_GL0088005	8058.142504	9639.428457	6757.275882	9133.538161	2359.673209	7637.509252	NA	8492.899004	11576.3061	7639.878784	14073.98654	5627.042514	3558.111441	13234.27897	3768.6507	NA	7372.93916	3712.449104	14384.4197	8023.133262	11391.54814	NA	2961.547082	2816.063377
13_GL0088770	26247.02028	18684.61268	20526.34486	55445.76704	56434.43726	51841.73283	69225.97306	125006.2243	29950.91123	19195.42641	26262.32635	9857.57653	56502.80657	177730.4579	40201.76056	51474.1933	42714.26128	30304.56595	26352.08136	20484.38962	35275.68362	41392.52559	51871.52725	53831.40451
13_GL0088770;1A-dyr3-06_GL0038646;3-1_GL0008128;G1-1A_GL0024937;G1-1A_GL0033980;G1-1A_GL0070733;MC-6-2_GL0079559;MC-6-2_GL0081183;MH-6-1_GL0077133;S-Fe10_GL0004791;S-Fe10_GL0069551;S-Fe10_GL0083061;S-Fe8_GL0076265	3849290	1908410	2863090	1895160	1134410	1829850	1260350	1707440	1522890	1723780	3161390	1239300	1542050	2119750	1439170	1286110	1567960	1367670	2231020	2208030	2503080	816597	1736680	1161990
13_GL0088770;1A-dyr3-06_GL0038646;3-1_GL0008128;G1-1A_GL0033980;MH-6-1_GL0077133;S-Fe10_GL0029757	497716	320289	277994	372296	261014	292233	320620	320698	161175	201649	385239	102456	242592	1009850	511172	259903	248755	251213	216196	468766	294693	169191	342805	230436
13_GL0088770;2-2_GL0151691;8-1_GL0116806;Group2-8A_GL0097846;MH-6-1_GL0077133;S-Fe9_GL0044726	NA	17079.2	NA	NA	34587.3	NA	3370.24	NA	NA	NA	NA	NA	NA	8499.39	NA	30199.5	19349.8	NA	NA	NA	NA	39342.2	NA	NA
13_GL0088770;32_GL0056532;Group2-7A_GL0008319;MC-0-1_GL0099489	23935.8	28737.6	4654.81	55965.66637	47444.88748	28037.83539	50773.29582	17810.14096	17130.61752	7311.92	17392.4	9915.44	67317.17476	147571.2678	22379.83643	16861.39028	37436	11038.9	28909.77098	22721.8	12662.8	72029.13362	28453.46036	51293.19807
13_GL0088770;5-7_GL0051750;G1-1A_GL0033980;MH-6-1_GL0077133;S-Fe8_GL0076265	17925.34725	7355.711008	11138.87693	11792.53659	27311.40259	18775.86018	31016.36766	28531.8163	10736.34997	11082.86556	20351.66578	10175.16835	23833.85755	61962.31821	39306.36719	21675.68358	23684.4224	12503.40062	27034.5909	13072.66357	10270.11634	22658.53802	47529.47394	29868.82489
13_GL0088770;G1-1A_GL0033980;Group2-7A_GL0008319	NA	NA	NA	3586.93	3189.6	NA	5782	6850.55	NA	NA	NA	NA	3704.84	13854.7	7178.08	NA	NA	3098.35	NA	NA	NA	NA	NA	NA
13_GL0088770;MH-6-1_GL0077133;S-Fe7_GL0291283	NA	NA	NA	NA	NA	NA	NA	4991.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-3_GL0088824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1248.29	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-3_GL0093270	NA	1481.6	NA	658.498	NA	1148.51	NA	1727.81	NA	NA	NA	NA	NA	2211.2	NA	NA	1343.52	NA	1015.27	NA	NA	NA	NA	NA
1-3_GL0093270;13_GL0051392;40_GL0063238;4_GL0106666;MC-0-1_GL0007178;MC-0-1_GL0018767;MC-0-1_GL0098729	6268.385829	3889.532597	2285.483221	3044.396304	2325.871496	4646.630984	1270.285082	2326.670839	2446.702281	NA	6768.290787	2613.652679	3289.649365	5563.170596	NA	NA	3164.537676	2203.25421	4768.059056	4107.40666	3549.654099	NA	2441.199396	2121.283179
1-3_GL0093270;40_GL0063238	7883.27902	11376.35003	8952.367455	8739.58664	2932.82687	9614.937973	NA	11287.2879	10093.97646	NA	8640.831571	5273.687703	4532.475428	16661.33437	5451.937385	6359.903145	8126.076696	4698.723721	13668.4808	8507.045065	22228.60172	NA	4423.840372	2838.973747
1-3_GL0093270;40_GL0063238;S-Fe10_GL0009973	40924.3	21489.4	54076.4	25413.5	16056.6	NA	7003.82	45701.5	38618.6	13856.4	46027.1	24006.6	23595.3	NA	19112.3	11757.3	17752.7	6961.15	10118	10390	24036.2	5564.92	12412.9	17634.5
1-3_GL0098028	NA	2707.970379	87760.07671	6164.996924	NA	78695.94769	5851.136231	23247.13957	NA	NA	NA	2613.814062	NA	NA	NA	NA	5415.410436	NA	NA	16274.61578	NA	NA	NA	3610.217378
1-3_GL0098028;47_GL0131083	NA	NA	56449.38398	NA	NA	72245.20075	71019.34617	46164.63632	NA	NA	NA	NA	NA	NA	NA	NA	NA	30793.33789	NA	NA	NA	NA	NA	NA
1-3_GL0098028;47_GL0131083;MH-6-4_GL0157601	NA	2775.53691	77027.26761	6413.100641	4256.649697	90161.6697	81931.69966	49410.39387	5770.079232	2085.85308	4147.263939	4420.338506	1557.435277	NA	NA	NA	7628.682035	15768.51821	2835.835417	16926.62088	NA	NA	14092.40106	5050.281183
1-3_GL0102532	NA	NA	17712.44954	NA	43452.53521	10175.95543	9526.993753	NA	6240.365178	2663.501814	NA	NA	NA	NA	46472.33881	NA	6753.388769	NA	2058.747708	NA	87018.61964	33598.04729	102085.2311	39684.72518
1-3_GL0102532;1-7_GL0127377;11_GL0139065;35_GL0136148;4-3_GL0039646;5-8_GL0139456;6-3_GL0103114;6-6_GL0114404;7-5_GL0115577;MH-6-5_GL0183530;S-Fe6_GL0068178;S-Fe8_GL0291793	727708	NA	NA	NA	NA	675390	449826	NA	758913	NA	1626900	NA	1068140	NA	NA	NA	NA	384099	673478	NA	992561	NA	1279330	938153
1-3_GL0114313	4977.375031	NA	22313.46133	3598.077496	5651.87578	NA	2323.899791	8975.607278	7899.706201	14171.36963	17441.39038	7967.740922	4408.265551	NA	4881.552959	NA	16237.78581	16191.30553	11455.80932	8586.348952	8309.873332	28575.64355	29222.37954	6884.666926
1-3_GL0117225	NA	NA	6743.69	NA	30745.4	11823.7	39527.2	NA	NA	NA	NA	NA	20273.2	NA	NA	NA	4756.65	7696.46	NA	NA	7123.17	15856.2	NA	32397.7
1-3_GL0117225;11_GL0010649;11_GL0031897;11_GL0153043;1A-dyr4-07_GL0076389;1A-dyr4-07_GL0106169;2-1_GL0009698;2-1_GL0024475;2-1_GL0121714;2-8_GL0071465;4-1_GL0012890;5-1_GL0023967;5-8_GL0118237;6-2_GL0069554;6-3_GL0036745;8-2_GL0023849;G1-5A_GL0096650;Group2-1A_GL0059524;Group2-3A_GL0021448	NA	NA	NA	NA	NA	NA	NA	31784.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
